City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,daman,20.42,72.85,75.7,52,10,4.07,IN,1607448112
88,contamana,-7.33,-75.02,72.93,97,100,1.68,PE,1607448112
89,butaritari,3.07,172.79,81.14,79,89,6.4,KI,1607448112
90,aqtobe,50.28,57.21,12.2,85,90,1.39,KZ,1607448112
91,halkirk,52.28,-112.15,30.2,100,88,6.93,CA,1607448112
92,castro,-24.79,-50.01,78.08,57,47,6.08,BR,1607448081
93,barrow,71.29,-156.79,1.4,70,90,17.22,US,1607448002
94,port augusta,-32.5,137.77,59.0,77,0,4.7,AU,1607448113
95,mount gambier,-37.83,140.77,55.4,76,90,5.82,AU,1607448113
96,svetlogorsk,52.63,29.73,22.73,88,0,11.41,BY,1607448113
97,port-gentil,-0.72,8.78,80.6,83,75,10.29,GA,1607448113
98,faanui,-16.48,-151.75,80.08,75,94,14.27,PF,1607448113
99,georgetown,5.41,100.34,80.6,88,40,3.36,MY,1607448113
100,bluff,-46.6,168.33,51.01,72,73,1.99,NZ,1607448113
101,clyde river,70.47,-68.59,6.8,92,90,14.99,CA,1607448113
102,kaitangata,-46.28,169.85,50.0,80,0,1.99,NZ,1607448114
103,kavieng,-2.57,150.8,82.56,73,96,5.21,PG,1607448114
104,richards bay,-28.78,32.04,74.55,72,0,16.87,ZA,1607448114
105,golden,39.76,-105.22,53.01,21,40,3.36,US,1607447897
106,caibarien,22.52,-79.47,77.0,57,40,8.05,CU,1607448114
107,port alfred,-33.59,26.89,71.96,85,100,2.82,ZA,1607448114
108,uvalde,29.37,-99.77,69.01,33,1,5.82,US,1607448016
109,lewistown,40.6,-77.57,39.0,47,1,16.11,US,1607448115
110,gizo,-8.1,156.84,82.31,73,98,3.76,SB,1607448115
111,bassar,9.25,0.78,93.2,15,0,8.05,TG,1607448115
112,tocopilla,-22.09,-70.2,71.2,48,55,9.98,CL,1607447516
113,esperance,-33.87,121.9,62.6,59,0,12.75,AU,1607448115
114,bandarbeyla,9.49,50.81,76.62,72,8,16.96,SO,1607448115
115,paramirim,-13.44,-42.24,84.0,55,39,1.48,BR,1607448115
116,fort frances,48.6,-93.4,32.0,87,1,6.93,CA,1607447970
117,svobodnyy,51.4,128.13,1.67,92,40,6.49,RU,1607448116
118,narsaq,60.92,-46.05,33.8,31,20,20.8,GL,1607448116
119,hun,29.13,15.95,59.68,31,0,2.93,LY,1607448116
120,komsomolskiy,40.43,71.72,33.8,86,90,2.24,UZ,1607448116
121,homer,59.64,-151.55,34.0,80,90,11.41,US,1607448116
122,luderitz,-26.65,15.16,65.71,78,0,14.05,NA,1607448116
123,cockburn town,21.46,-71.14,82.4,74,40,11.41,TC,1607448116
124,zastron,-30.3,27.08,57.49,95,97,9.06,ZA,1607448117
125,preobrazheniye,42.9,133.91,22.55,78,0,6.24,RU,1607448117
126,uvinza,-5.1,30.39,69.44,85,65,0.89,TZ,1607448117
127,gat,31.61,34.76,66.99,100,16,6.98,IL,1607447824
128,krasnoselkup,65.7,82.47,-16.94,88,1,12.35,RU,1607448117
129,hirara,24.8,125.28,73.11,95,100,19.39,JP,1607447237
130,chacao,10.5,-66.85,81.0,58,59,3.0,VE,1607448033
131,lebu,-37.62,-73.65,61.03,68,10,10.58,CL,1607448118
132,ouallam,14.32,2.09,91.22,11,1,7.74,NE,1607448118
133,saint george,37.1,-113.58,33.8,34,1,4.7,US,1607447289
134,yar-sale,66.83,70.83,0.66,88,100,7.38,RU,1607448118
135,upernavik,72.79,-56.15,23.27,96,100,9.66,GL,1607448118
136,hoi an,15.88,108.33,69.8,88,75,4.7,VN,1607448118
137,litovko,49.24,135.17,12.18,81,13,9.51,RU,1607448119
138,verkhnyaya inta,65.98,60.31,20.7,98,93,9.48,RU,1607448119
139,totolapa,18.52,-96.18,77.0,47,5,9.17,MX,1607448119
140,codrington,-38.27,141.97,51.01,85,89,7.54,AU,1607448119
141,abha,18.22,42.51,64.4,72,0,7.29,SA,1607448119
142,isangel,-19.55,169.27,77.97,86,96,8.99,VU,1607448119
143,russell,32.35,-85.2,48.99,42,1,8.05,US,1607448120
144,ascension,30.22,-90.9,60.01,47,1,3.36,US,1607448120
145,itupiranga,-5.13,-49.33,86.0,70,20,2.24,BR,1607448120
146,zhigansk,66.77,123.37,-30.46,84,0,6.85,RU,1607447861
147,ati,13.22,18.34,87.26,13,34,7.4,TD,1607448120
148,nikolskoye,59.7,30.79,21.99,67,0,6.71,RU,1607448120
149,kodiak,57.79,-152.41,24.8,79,1,4.7,US,1607448043
150,pascagoula,30.37,-88.56,57.2,50,1,2.62,US,1607448120
151,olafsvik,64.89,-23.71,34.7,90,100,10.85,IS,1607448121
152,dunedin,-45.87,170.5,49.01,75,21,4.94,NZ,1607447991
153,dicabisagan,17.08,122.42,76.68,82,97,2.93,PH,1607448121
154,san luis,-33.3,-66.34,91.38,22,0,1.9,AR,1607447856
155,cape town,-33.93,18.42,73.0,77,75,11.41,ZA,1607447980
156,salihorsk,52.79,27.54,21.96,90,3,14.36,BY,1607448121
157,kainantu,-6.29,145.87,59.29,94,98,1.43,PG,1607448121
158,provideniya,64.38,-173.3,14.09,88,0,8.34,RU,1607448121
159,lagunas,-5.23,-75.68,83.34,65,100,5.82,PE,1607448122
160,bubaque,11.28,-15.83,82.98,64,9,9.26,GW,1607448122
161,bontang,0.13,117.5,81.48,82,100,5.7,ID,1607448122
162,alice springs,-23.7,133.88,73.99,21,85,5.82,AU,1607448122
163,yulara,-25.24,130.99,77.0,17,100,11.41,AU,1607447523
164,saint-philippe,-21.36,55.77,73.4,88,90,12.75,RE,1607448122
165,asau,46.43,26.4,27.0,24,100,1.74,RO,1607448122
166,wanaka,-44.7,169.15,46.58,75,100,3.94,NZ,1607448123
167,namibe,-15.2,12.15,70.63,65,60,14.29,AO,1607448123
